Club,Description,Category
Klesis Christian Fellowship,"Klesis is a community of college students trying to live out their faith in God and experience life together by building lifelong relationships. We invite anyone, whether you're exploring Christianity or you're Christian, to join our UW Klesis family!",Religious/Spiritual
Kopp Foundation for Diabetes UW Chapter,"The Kopp Foundation for Diabetes is a youth-led nonprofit to transform Type 1 diabetes care through innovation, equity, and leadership. The foundation aims to bridge the gap between scientific advancements and the real-world accessibility.",Engineering/Tech
Korean Graduate Student Association,KGSA provides networking opportunities within the group or with professional organizations in the Seattle area as well as allowing students to make connections with the US - Korea companies and academic institutions.,Professional Development
Korean Job Search (KOJOBS) - University of Washington Chapter,"The purpose of KOJOBS is to provide job information in the U.S and South Korea, to build fruitful relationship between upperclassmen and underclassmen from a variety of majors, and to continuously network with Korean professionals in Seattle Area.",Professional Development
Korean Student Association,The Korean Student Association (KSA) provides an avenue for students with common interests to enhance their college experience through interacting in a social cultural and political environment.,Cultural/Identity
Korean Student Union,KSU stands up for Korean heritage and culture. We help create a comforting environment at UW for the Korean international students as well as anyone who is interested in Korean culture and gladly lend a helping hand when needed. Anyone is welcome to join,Environmental/Sustainability
Korean-American Scientists and Engineers Association Seattle Young Generation,To promote research and network among students and young professionals in Seattle.,Professional Development
KORS,"We are a group of students that enjoy playing soccer, hang out, make food together, and talk about the Korean National soccer team.",Sports/Recreation
Kpop Club @ UW,"The purpose of our club is to foster community with UW huskies who love and enjoy Kpop. We have various events such as concert meet-ups, toploader deco, movie nights, and more! Come enjoy weekly events with Kpop Club @ UW!",Sports/Recreation
Kung Fu/Tai Chi Club at the University of Washington,"The purpose of the Kung Fu Tai Chi club at the UW is to practice and refine our skills in Hung Gar, Kung Fu and Tai Chi.",Engineering/Tech
Kyokushin Karate Washington Club,"KYOKUSHIN means Ultimate Truth. It describes the pinnacle of martial arts training. Not an end result, but a neverending path to the point where dedication, perseverance, and sweat meets strength, humility, and wisdom.",Engineering/Tech
Lambda Chi Alpha,"At the University of Washington, it is important to actively seek out smaller communities where you can find truly good friends. At Lambda Chi Alpha, we seek to provide this, while simultaneously preparing you for leadership in your life after college.",Greek Life
Lambda Phi Epsilon,ΛΦΕ. Lambda Phi Epsilon is the University of Washington's first and the world's largest Asian American interest fraternity.,Greek Life
"Lambda Theta Alpha Latin Sorority, Incorporated.","To provide a Sisterhood based on Unity, Love, and Respect. To develop leaders who will provide political/social/cultural/educational activities. Latin by tradition, not by definition.",Greek Life
"Lambda Theta Phi Latin Fraternity, Inc. Delta Mu Chapter","Lambda Theta Phi Latin Fraternity Inc, Delta Mu chapter was founded on April 19th, 2014. We are an organization committed to academic excellence, community service, cultural awareness, professionalism, and leadership.",Greek Life
Lao Student Association,"We, the Lao Student Association at the University of Washington strive to provide a safe and inclusive environment for Lao and non-Lao students alike. We aim to educate others on our rich culture and history, and uplift the voices in our community.",Engineering/Tech
Latine International Graduate Students Association,"LIGSA is an organization that brings together all students attending Graduate Schools at UW to celebrate Latin American cultural diversity, foster a supportive network, and promote cross-cultural understanding through engaging events and activities.",Cultural/Identity
Latine Student Union at the University of Washington,"LSU aims to build a welcoming, empowering space for Latine students of all cultural and racial backgrounds. We uplift our communities through cultural events, advocacy, and conversations around the issues that matter to us.",Engineering/Tech
Latines United for Community Health Advancement at the University of Washington,We aim to empower and support Latin@/e/x students in their pursuit of higher education in public health. We acknowledge and celebrate our cultural roots through discussions on public health issues that impact Latin@/e/x communities.,Academic
Latino Medical Student Association,"The Latino Medical Student Association (LMSA) is a national organization of students, alumni and health professionals whose mission is to unite and empower medical students through service, mentorship and education to advocate for the health of the...",Pre-Health/Medical
LatinX Business Association - MBA,"The LatinX MBA Association is an inclusive community at Foster that celebrates LatinX culture while welcoming all students and allies. We create opportunities to connect, learn, and lead through cultural events, professional development, and events.",Professional Development
Latinx Law Student Association,"The Latinx Law Students Association (LLSA) is committed to fostering a supportive community for Latinx students and allies through mentorship, advocacy, and outreach.",Service/Volunteer
Latter-day Saint Student Association,"Provides religious education, social opportunities and resources for Latter-day Saint students as well as others.",Academic
Lavender Pages - A Sapphic Book Club,We are a book club that reads sapphic books every three weeks. Sometimes we do book related crafts and games.,Greek Life
Law and Business Association,"The Law & Business Association seeks to connect, educate, and provide opportunities to law students interested in business law by engaging with practitioners, faculty, and other students across the University.",Business/Entrepreneurship
"Law, Societies, and Justice Student Engagement Council",The LSJ Advisory Council is a group of LSJ majors that works with the Program Director and Academic Advisor to help determine LSJ priorities and to help plan LSJ events.,Academic
Leading Women of Tomorrow at the University of Washington,"Leading Women of Tomorrow seeks to empower more young women and nonbinary folks to consider careers in public service, with the aim of bridging the gender gap among public representatives.",Engineering/Tech
League of Astronomers,"The League of Astronomers is an undergraduate-run organization at the University of Washington. Open to majors and non-majors alike, we strive to provide a fun environment for astronomy enthusiasts to engage in outreach and the undergraduate community.",Service/Volunteer
League of Legends @ UW,League of Legends @ UW is the official RSO for League of Legends and Teamfight Tactics at UW. Come meet new people and partake in our events! Join us at https://discord.gg/45H3snE79t!,Arts/Creative
League of United Latin American Citizens at University of Washington,"LULAC UW advances the economic condition, educational attainment, political influence, housing, health and civil rights of Hispanic Americans through community-based programs at the University of Washington.",Political/Activism
LeetCode Club,"LeetCode Club helps undergraduate and graduate students at the University of Washington develop LeetCode problem solving skills, in order to pass their technical interviews.",Engineering/Tech
Lego @ UW,"Lego @ UW is dedicated to providing and promoting a fun, open community for all Lego fans, new and old!",Service/Volunteer
Leonore Chamber Orchestra at the University of Washington,Serving the musicians of the University of Washington in offering performance opportunities of small and reduced orchestral works.,Arts/Creative
Leukemia & Lymphoma Society,Help cure blood cancer and improve quality of life of all patients and their families,Pre-Health/Medical
Lifestyle Medicine Association @ UW,"We help students explore how simple lifestyle choices—like sleep, fitness, and nutrition—can boost health and happiness. Join us for fun events, cool speakers, and hands-on research to learn how prevention plays a key role in the future of healthcare.",Pre-Health/Medical
Line Dancing Club at UW,We are a club dedicated to sharing the art of line dancing with the students of UW Seattle.,Arts/Creative
Linguistics Society at the University of Washington,"We gather in order to discuss issues relevant to the department and our linguistic studies. We organize weekly colloquia, nominate visiting speakers, plan social events, and obtain funding for department activities.",Engineering/Tech
Literature Club at the University of Washington School of Medicine,It shall be the purpose of this organization to promote intellectual growth and discussion through the shared exploration of literature.,Pre-Health/Medical
Lithuanian Student Organization,"The Lithuanian Students Club is a student-led organization that celebrates Lithuanian culture, language, and heritage. It brings together students of Lithuanian descent or interest through events, social gatherings and educational activities.",Hobbies/Interest
Living Water Fellowship,"Christian student organization dedicated to Bible study and serving both local communities and fellow students through various forms of outreach and direct assistance, encouraging spiritual growth and meaningful connections.",Religious/Spiritual
Louis Stokes Alliance for Minority Participation,"The Louis Stokes Alliance for Minority Participation (LSAMP) is designed to increase the quality and number of students from under-represented minority groups who complete undergraduate degrees in science, technology, engineering, and mathematics (STEM).",Engineering/Tech
Lowkey Sports Club,"Lowkey Sports Club brings students together to play sports casually, find partners or teams for recreational activities, go to the gym together, and make friends.",Arts/Creative
Lumina,Lumina at the University of Washington is a project-based student organization that gathers students from different skills and background to work on technical & creative projects.,Engineering/Tech
Lutheran Campus Ministry @ UW,"Lutheran Campus Ministry @ UW is a progressive, inclusive, welcoming, grace-filled, justice-oriented community of faith for the University of Washington community.",Religious/Spiritual
LUX: Film Production Club,Meet people. Make films. We are a film production club for all.,Arts/Creative
Mach - Motorcycle Club at UW,"Motorcycle club for UW students. We organize group rides, teach safe riding, and help each other out for mechanical work on our bikes. Reach out to us on instagram @mach.uw !",Hobbies/Interest
Mahjong Club,Our club purpose is to provide Mahjong enthusiasts with a network of players to sharpen each other’s skills as well as elevate their appreciation for the traditional Chinese game,Hobbies/Interest
Makers at UW,"To inform the students of what instruments and machines are available to them. This includes tours, tutorials, and usage of spaces such as The Mill, Machine Lab, Fabrication lab, etc. We also support students create projects using these machines.",Engineering/Tech
Malaysian Student Association at the University of Washington,"MASA UW serves as a support group to members, promotes camaraderie between fellow Malaysians at UW & the Greater Seattle Area, as well as encourages cultural understanding between Malaysian students and students from other countries at UW.",Cultural/Identity
Mariachi Quinto Sol en UW,"To build community among other fellow UW students, and promote cultural awareness by playing, studying, and performing Mariachi Music.",Academic
Marimba Club at UW,"Come learn to play Zimbabwe-style marimbas! No prior musical experience is needed, however, folks with a music background are also encouraged to join! There are parts for all skill levels.",Arts/Creative
Master of Health Administration Student Association,The purpose of the MHASA is to provide a forum to explore issues of importance to healthcare students and others interested in the improvement of the healthcare system.,Pre-Health/Medical
Material Advantage,"To promote general interest and knowledge about the field of Materials Science and Engineering through events, competitions, and networking.",Engineering/Tech
MBA Association at Foster School of Business,"The MBA Association at the Foster School of Business is your gateway to experiencing life outside of the classroom. As a member, you will have a chance to take part in all of the student-run events and activities, and join clubs.",Business/Entrepreneurship
MBA Entrepreneur and Venture Capital Club at the University of Washington,"The Entrepreneurship &amp; Venture Capital Club (E&amp;VC Club) connects students with the startup and venture scene in Seattle and across the PNW, fostering a community of UW's founders, investors, and startup enthusiasts exploring non-traditional career paths.",Business/Entrepreneurship
MBA Women in Business Association at the University of Washington,"The purpose of this club is to nurture the personal and professional development of Foster Women MBA students, with a specific focus on grooming women into leadership positions and increasing visibility in the community.",Professional Development
McNair Scholars Program,The Ronald E. McNair Program prepares undergraduates for doctoral study through involvement in research and scholarly activities. The purpose of the McNair Program is to assist in the academic and professional development of undergraduates.,Academic
Mechanical Engineering Graduate Student Association,"To promote communication between graduate students and administration within the mechanical engineering department, advocate for graduate students of ME, and foster community within the graduate student body of ME.",Engineering/Tech
"Mechanical Engineers for Inclusivity, Diversity, Equity, and Accessibility",ME-IDEA is a student group established to dismantle systemic racism and other intersecting injustices in the University of Washington Mechanical Engineering department and the broader engineering community.,Engineering/Tech
Med Connect,"Our club focuses on volunteering, shadowing opportunities, guest talks from medical professionals, and potentially assisting members in obtaining certifications such as CPR and basic health skills.",Pre-Health/Medical
MEDEX Seattle Chapter,"The Physician Assistant Student Society is an eclectic group of likeminded, proactive individuals dedicated to advancing the practice of Physician Assistants by assisting with the development of education strategies.",Academic
Medical Genetics Interest Group,"The Medical Genetics Interest Group educates students on genetics in medicine, exploring research, career paths, and ethical issues while highlighting the importance of genetic knowledge across all medical specialties.",Pre-Health/Medical
Medical Humanities Interest Group,"An interest group for medical students looking to integrate humanities, bioethics, narratives, and the arts into their medical education.",Academic
Medical Research Interest Group,"Our goals for MedRIG are to introduce students to clinical research, discuss strategies and resources to foster a successful lifelong career in research, and provide opportunities for students to get involved in clinical research.",Pre-Health/Medical
Medical Student Association,The Medical Student Association is a student leadership and service organization with the primary focus of supporting the student body of the University of Washington School of Medicine (UWSOM).,Pre-Health/Medical
Medical Student Association - Alaska WWAMI,"The Medical Student Association in Alaska represents WWAMI medical students by fostering community, advocating for wellness, voicing student experiences in school and curriculum delivery, and planning events throughout the academic year.",Academic
Medical Student Association at WWAMI Spokane,The Spokane MSA is to serve as a student leadership and service organization with the primary focus of supporting the student body and representing its interests at the Spokane foundations site of the University of Washington School of Medicine.,Pre-Health/Medical
Medical Students with Disabilities and Chronic Illnesses and their Allies,"Student group focused on disability awareness, advocacy, education, and community.",Academic
Medicine in Motion UWSOD Chapter,"Medicine in Motion at UWSOD, is part of Medicine in Motion, a 501(c)(3) nonprofit organization, and diverse group of healthcare providers whose mission is to address medical burnout through fitness, philanthropy, and interdisciplinary community build",Pre-Health/Medical
"Medicine, Education, and Development for Low-Income Families Everywhere",The UW MEDLIFE Chapter is an organization of students dedicated to aiding and empowering low income families through local volunteering and annual medical service learning trips abroad.,Academic
MediMind,"MediMind aims to provide essential information and support for all University of Washington students, especially those interested in clinical, neuro, child developmental psychology, psychiatric nursing, and general premed.",Pre-Health/Medical
MedRedirect,Organization desription summary: Our organization will work with the UW sustainbility and Surplus departments to redirct the medical supply surplus they recieve from UW-affiliated Hospitals. We aim to support the sustainability department reach it's wast,Pre-Health/Medical
Men's Husky Lacrosse Club at the University of Washington,To provide an opportunity to participate in a competitive lacrosse environment for student athletes at the University of Washington.,Arts/Creative
Men's Soccer Club at the University of Washington,The Men's Soccer Club at the University of Washington aims to provide students with the opportunity to play soccer at a competitive collegiate club level.,Engineering/Tech
Men's Volleyball Club at UW,"To provide a safe and competitive environment to learn and train in the sport of volleyball, while providing ample opportunities to compete in local and national competitions.",Sports/Recreation
MESH,"MESH is a collective of fashion designers and fashion enthusiasts! We bring together a community of people interested in fashion design through workshops, events (fashion show!!!), and building a platform to showcase student designers.",Hobbies/Interest
Micronesian Islands Club,"The purpose of this organization is to create a community at the University of Washington for individuals who are interested in educating, learning, and raising awareness about Micronesian culture through cultural, political and educational engagement.",Academic
Microphiles Journal @ UW,"The Microphiles Journal is an undergraduate microbiology journal put together entirely by students, aiming to showcase the diversity of microbiology to all audiences while providing an opportunity for students to develop different skills.",Engineering/Tech
Middle Eastern & South Asian Law Student Association,"MESALSA strives to create a sense of community among students of Middle Eastern and South Asian heritage, as well as students interested in the Middle East and South Asia. MESALSA creates an opportunity to connect with legal professionals in Seattle.",Cultural/Identity
Mind to Mind,Mind to Mind: Caring for Connection,General Interest
Minecraft @ UDub,We are a student organization focused on building and maintaining UW campus in Minecraft while also hosting virtual community events and various other games for players!,Engineering/Tech
Minorities in Tech,"Minorities in Tech’s mission is to act as a forum to build and foster an inclusive, multicultural environment for underrepresented minority (URM) students in CSE and allies.",Engineering/Tech
Minority Association of Pre-Medical Students at UW,MAPS at the University of Washington is dedicated to fostering a community of underrepresented pre-medical students and providing members with knowledge and experiences needed to be socially conscious healthcare professionals.,Pre-Health/Medical
Minority Law Students Association,"The Minority Law Students Association (MLSA) seeks to build community and create safe spaces for individuals systemically marginalized from the law, legal profession, and legal institutions. MLSA invites all who share our common values to participate.",Arts/Creative
Mixed Student Union,"The Mixed Student Union at the University of Washington aims to create a community for students who identify with more than one race, ethnicity, nationality, culture, heritage, etc, in addition to supporting students in their exploration.",Engineering/Tech
Mock Trial at the University of Washington,"To develop public speaking skills, critical and analytical thinking, and legal knowledge through participation in competitive Mock Trial.",Arts/Creative
Modality,"Modality’s goal is to create a community and platform for QTBIPOC creatives by highlighting their work, sharing resources, and providing opportunities to share and create art.",Arts/Creative
MODE,Mode is a modeling club that aims to develop the skills of beginner models through interactive workshops and hosted photoshoots.,Engineering/Tech
Molecular Gastronomy Lab,"Molecular Gastronomy Lab incorporates science and new techniques in the preparation, transformation and artistic presentation of food.",Engineering/Tech
Mongolian Student Association,"Share and raise awareness of Mongolian culture with UW and greater Seattle community, help the incoming and prospective students with their transition, and develop leadership skills within the members.",Engineering/Tech
Montlake Consulting Group,"We offer undergraduate students hands-on consulting experience with Fortune 500 companies, nonprofits, and startups. Backed by over a decade of alumni, we provide a strong network and career opportunities for those pursuing a future in consulting.",Business/Entrepreneurship
"Mortar Board National College Honor Society, Tolo Chapter","A national college honor society whose membership is based on scholarship, leadership, and service. The local Tolo chapter was founded in 1909, became part of the national organization in 1925, and is the oldest continuing honor society at the UW.",Academic
Mountain Medics at the University of Washington,The purpose of our group is to provide people with the knowledge and skills to be safe and sustainable while outdoors. We will also educate members about healthcare pathways in wilderness and rural medicine.,Pre-Health/Medical
Movimiento Estudiantil Chicane de Aztlan,Committed to liberating & empowering our community through education & political action.,Academic
MSTI Graduate Student Association at University of Washington,"The goal of MSTI GSA is to support MSTI students at the Global Innovation Exchange through advocacy for personal and professional growth, the organization of events, and community engagement.",International/Global
Multicultural Greek Council,To promote unity among multicultural and underrepresented Greek organizations at the University of Washington.,Cultural/Identity
Muse,Muse Media is a student-led style magazine and collaborative outlet for creatives at the University of Washington.,Media/Publications
Museology Union for Student Events and Resources,Student development and communication union for Master's students in Museology that works to create an inclusive environment for all.,Professional Development
Music For a Cause,"Perform to underprivileged people (homeless people, shelters, nursing homes, hospitals, etc.) to spread joy through music.",Pre-Health/Medical
Music for All @ UW,"Music for All @ UW is committed to offering accessible music education to the children of Seattle regardless of their background, circumstances, or resources.",Academic
Music for Charity at the University of Washington,We are a group of musicians who have a passion of giving back to the community. We organize and facilitate concerts and performances that benefit organizations and charities that impact our community for the better.,Service/Volunteer
"Music in Medicine, WWAMI Anchorage","We propose a live music intervention led by medical student volunteers in partnership with Providence Volunteer Services, who will help identify patients interested in participating. Sessions will be offered twice a month—once on the pediatric floor and",Pre-Health/Medical
Music Listening Club @ UW,MLC @ UW is a club created for people who love (any genre) of music to talk about it with others and share music recommendations. Every week we have an album of the week that we listen to and discuss.,Arts/Creative
Music of the Enthusiasts,A group of students who enjoy singing pop songs arranged for choir and A cappella.,Arts/Creative
Muslim Medical Student Association at UWSOM,"The Muslim Medical Student Association (MMSA) at UWSoM is dedicated to fostering an inclusive environment for Muslim medical students to thrive academically, professionally, and spiritually.",Religious/Spiritual
Muslim Students Association at the University of Washington,"MSA is all about building an inclusive atmosphere of brotherhood/sisterhood, empowering Muslim students, strengthening our faith, engaging in community service and leadership, and reaching out to spread understanding and acceptance.",Service/Volunteer
Muslims at Foster,"Through engaging events, discussions, and networking opportunities, we aim to create an inclusive environment that not only celebrates the unique perspectives of Muslim students but also enriches the overall business experience for everyone at the UW.",Engineering/Tech
Muslims In Public Health at UW,"We are a group focused on fostering a close-knit Muslim community within the public health sector through engaging in educational workshops, social events, and community service, as our faith encourages us to.",Service/Volunteer
"Narcare, University of Washington Chapter","NARCARE is a chapter of NARCARE(US), a nonprofit that seeks to address the opioid crisis through community empowerment. Our goal is to provide the UW community with the knowledge and resources needed to protect themselves and others from the epidemic.",Service/Volunteer
Nate's Fan Club,This is a test account.,Hobbies/Interest
"National Community Pharmacists Association, UW Student Chapter",NCPA highlights the exciting opportunities available to independent specialty and community pharmacy practice.,Pre-Health/Medical
National Lawyers Guild UW Chapter,"The NLG is an association of lawyers and law students, and others dedicated to social justice, human rights and civil liberties. The UW Chapter is the on-campus forum in which Guild members and other interested persons can discuss relevant issues.",Political/Activism
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers (NOBCChE) Chapter at the University of Washington,"The mission of the NOBCChE is to build an eminent cadre of successful diverse global leaders in STEM and advance their professional endeavors by adding value to their academic, development, leadership, and philanthropic endeavors through their careers.",Professional Development
National Organization of Minority Architecture Students - UW Chapter,NOMAS is a student-formed group devoted to connecting students and fostering a community in the UW College of Built Environments to industry professionals and providing access to the greater NOMA network across the country.,Professional Development
"National Pan-Hellenic Council, Inc.",The National Pan-Hellenic Council at the University of Washington is comprised of six out of nine active historically Black Greek-letter Fraternities and Sororities.,Cultural/Identity
National Security Law Society,"The mission of the National Security Law Society (NSLS) is to connect students who are interested in pursuing a career in the national security sector. As a unit, the NSLS will help its members network and connect with local and national public and priva",Professional Development
National Society of Black Engineers,The National Society of Black Engineers (NSBE) organization is dedicated to the academic and professional success of African-American engineering students and professionals.,Cultural/Identity
National Society of Black Health Professionals,The National Society of Black Health Professionals (NSBHP) is an organization dedicated to stimulating and developing student interest in pursuing careers in the healthcare industry.,Professional Development
"National Student Speech Language Hearing Association, UW Chapter",The National Student Speech Language Hearing Association (NSSLHA) is a pre-professional association for students interested in the study of speech and hearing sciences and communication disorders. The UW Chapter welcomes all members of the UW community!,Academic
Native American Law Students Association,The Native American Law Students Association (NALSA) was founded in 1970 to support Native American students at the University of Washington School of Law and to promote the study of Indian law in order to serve tribes and Native communities.,Academic
Natya at UW,Natya is the University of Washington’s premiere Indian classical national competing dance team.,Arts/Creative
NCODA UW Chapter,"NCODA is a grassroots, nonprofit organization founded to strengthen oncology organizations with medically integrated services internationally.",Service/Volunteer
Nepali Student Association at University of Washington,"The Nepali Student Association at the University of Washington (NSAUW) is established to promote knowledge of Nepali culture, traditions, and to foster ties between Nepali students, faculty and staff at the UW.",General Interest
"Net Impact (Graduate), University of Washington Foster School of Business Chapter",Net Impact is a leading non-profit that empowers a new generation to use their careers to drive transformational changing in the workplace and the world.,Business/Entrepreneurship
Net Impact UW Undergraduate Chapter,"Net Impact UW is a sustainable business club, aiming to inspire environmental action and increase awareness through education, activism, and career development.",Professional Development
Neurobiology Club,"Welcome to Neurobiology Club! We provide resources for undergraduate students to explore neuroscience both in and out of the classroom, and meet like-minded individuals.",Hobbies/Interest
Neurological Surgery Interest Group,This group is for medical students at UWSOM. The Neurological Surgery Interest Group aims to provide medical students with mentorship opportunities through collaboration with UWSOM faculty and residents. If interested in joining email nsig@uw.edu,Pre-Health/Medical
Neuroscience Community Outreach Group,"Neuroscience Community Outreach Group (NCOG) is a graduate student RSO. Our mission is to enhance public neuroscience education, excitement of neuroscience, and understanding of pathways to scientific careers through classroom visits and public events.",Service/Volunteer
Neuroscience Undergraduate Reading Program,Our goal is to facilitate undergraduate and graduate student interactions and undergraduate scientific literacy and science presentation skills with a focus on neuroscience through one on one journal clubs between an undergraduate and graduate students.,Sports/Recreation
Nikkei Student Union at UW,"To foster a sense of community and cultural unity for Nikkei students and to honor our shared history through cultural and educational events, service, and more.",Service/Volunteer
NMDP - UW,NMDP On Campus - UW will hereby be established as a volunteer service club for the University of Washington aimed to advocate for patients who need a blood stem cell transplant.,Service/Volunteer
North African Student Association,We are dedicated in an inclusive and supportive community for students of North African descent and those interested in the cultures.,Cultural/Identity
Nu Chapter of Alpha Xi Delta,"Alpha Xi Delta is a progressive organization dedicated to the personal growth of women. Through membership in Alpha Xi Delta, Sisters are inspired to realize their potential through the ideals our Founders instilled in our Fraternity.",Greek Life
Nuclear Society at UW,"To increase understanding of nuclear science, technology, engineering, and innovations through a multidisciplinary lens.",Engineering/Tech
"Nurses For Sexual and Reproductive Health, UW Chapter",This organization will provide support and training to health science professionals interested in increasing their skills and knowledge of sexual and reproductive health issues.,Pre-Health/Medical
Ob-Gyn Interest Group - Alaska WWAMI,"The OB-GYN Interest Group provides opportunities for medical students to explore women’s health, engage in clinical and research experiences, learn from faculty mentors, and promote education on reproductive health and advocacy.",Pre-Health/Medical
OB/GYN Interest Group,Student interest group in the School of Medicine dedicated to creating community and sharing information and hands-on learning about the obstetrics and gynecology medical specialty.,Pre-Health/Medical
Off Leash News,"To be the University of Washington's number one satire publication through regular articles on our website, and a quarterly magazine.",Media/Publications
"Omega Delta Phi Fraternity, Inc. - Lambda Chapter","The purpose of this Brotherhood, a Service/Social Fraternity dedicated to the needs and concerns of the community, is and shall be to promote and maintain the traditional values of Unity, Honesty, Integrity and Leadership.",Greek Life
"Omega Psi Phi Fraternity, Inc. - UW Campus","We align with the UW National Pan-Hellenic Council to encourage scholarship and social action, through friendship and community service. We aim to promote various educational, economic, and cultural service functions, to serve the UW community.",Greek Life
Open Mic at UW,"The Open Mic Club is a space for performers of all kinds to express their talents in an uplifting environment to help them gain self-confidence while also ensuring that they are having fun doing so! Come join us at meetings for karaoke, games, and more:)",Engineering/Tech
Operation Smile UW Chapter,"As a chapter affiliate, our purpose is to assist Operation Smile in its mission to raise funds and education on comprehensive care for those in underserved communities of children with from cleft conditions.",Academic
Operations & Supply Chain Management Club,We prepare students for successful careers in Operations & Supply Chain Management and help our members differentiate themselves as they enter their professional journey.,Professional Development
Ophthalmology Interest Group,"The OIG exists to facilitate medical student interest in ophthalmology through volunteer work and guidance from providers at the UW Eye Institute, helping to connect medical students with opportunities in the field.",Pre-Health/Medical
Organic Steps,Organic Steps is UW's only organic chemistry tutor club. Our goal is to provide academic help that is specific to student's needs.,Academic
Organization of Hua Classmates,"The Organization of Hua Classmates is a volunteer group that aims to share all kinds of academic resources with all UW Students. Meanwhile, we are also focusing on providing services to new UW students to help them quickly get used to college life.",Service/Volunteer
Organization of Student Social Workers,"The purpose of this organization is to bring together students from The School of Social Work through community events, service projects and fundraisers in order to promote community and create a platform for change on the student level.",Service/Volunteer
Oriental Orthodox Christian Student Assocation,"The Oriental Orthodox Christian Student Association (OCSA) serves Oriental Orthodox students from Ethiopian, Syrian, Indian, Coptic, Eritrean, and Armenian traditions, fostering faith, fellowship, and cultural connection.",Religious/Spiritual
Origami Club,"Welcome to Origami Club! Our goal is to provide a recreational environment where people can relax, learn, and fold origami. Everyone is welcome and no folding experience is required. Thursdays 3:30-5:00PM SMI 107. No need to click Join, just show up :)",Environmental/Sustainability
ORIGINS: Life in the Universe,We are an astrobiology RSO that encourages the involvement of undergraduates in the field of astrobiology. We primarily hold journal club meetings to discuss current research in the field and hope to build a supportive undergrad community.,Academic
Oromo Student Union,The Oromo Student Union at the University of Washington is dedicated to celebrating Oromo culture and building community.,Service/Volunteer
Orthodontics Interest Group at UWSOD,The mission of the Orthodontics Interest Group is to provide opportunities to learn more about the field of orthodontics and to network with future mentors. We aim to build a community that elevates the field as a whole and bridges the gap between dental,Pre-Health/Medical
Orthodox Christian Fellowship at the University of Washington,"OCF provides a space for college students to discuss the Orthodox Christian faith and build friendships with others. We host events that relate to our 4 pillars, which are Fellowship, Education, Worship, and Service.",Religious/Spiritual
"Orthopedic Surgery and Sports Medicine Interest Group, AK WWAMI Foundations Site",A group for first year AK WWAMI medical students who are interested in orthopedic surgery and sports medicine.,Pre-Health/Medical
Osler Internal Medicine Interest Group,To expose medical students to the specializations and work of an internal medicine physician.,Pre-Health/Medical
osu! Players at University of Washington,A place for casual or competitive osu! players at UW to chat and participate in various events!,Arts/Creative
Otolaryngology Head and Neck Surgery Interest Group- Idaho Chapter,This organization shall exist to provide University of Washington Medical Students at Idaho Foundations Site with opportunities to learn about and experience the fields of Otolaryngology and Head and Neck Surgery.,Pre-Health/Medical
"Out in Science, Technology, Engineering, and Mathematics","oSTEM aims to provide support, networking, and educational opportunities for LGBTQ+/Queer students, faculty, and staff in science, technology, engineering, and math (STEM)-related fields.",Engineering/Tech
OUTLaws Student Association,"The purpose of OUTLaws is to provide social and professional networking for lesbian, gay, bisexual, transgender, and queer (LGBTQ) law students at the University of Washington School of Law; to raise awareness of LGBT legal issues; and foster community.",Cultural/Identity
Pacific Abortion Project,Pacific Abortion Project is a WWAMI-wide coalition of UW medical students across all years and foundations sites who are committed to improving abortion access and expanding abortion education in medical training.,Academic
Pacific Islander Partnerships in Education,PIPE’s primary mission is to originate and sustain an environment for students in a large university that will be conducive to retention and graduation. The main components of this environment are individualized and group faculty and peer mentorship.,Academic
Pakistani Students Association at the UW,"The purpose of the Pakistani Students Association is to provide a space for cultural understanding, celebration and solidarity. Providing a link for Pakistani students and beyond to our heritage, contributing to the university community and at large.",Cultural/Identity
Panhellenic Association,We exist to enhance the academic purpose of the UW fraternity women and to unify the interests of fraternity and non-fraternity women.,Academic
Parents Attending Law School,Provide resources and social networking oportunities for parents currently enrolled in the Univeristy of Washington School of Law.,Professional Development
Partners For World Health - UW Chapter,"Partners for World Health improves global health and reduces medical waste by collecting and distributing medical supplies. Run mostly by volunteers, PWH offers internships, student chapters, and initiatives like Project 10,000 to support maternal health",Pre-Health/Medical
Partners in Health Engage at UW,Partners in Health Engage is a grassroots movement that supports global health policy change and community centered education on global health and social justice issues.,Political/Activism
Peaks & Professors at UW,Peaks & Professors cultivates unique experiences between students and faculty by organizing hikes to provide an avenue to Think Outside and inspire meaningful conversations in the great outdoors.,General Interest
Pediatric Interest Group,"The Pediatric Interest Group at the University of Washington School of Medicine is an organization that provides space, support, and opportunities for medical students interested in the field of pediatrics.",Pre-Health/Medical
Pediatric Interest Group-AK WWAMI,This is the Alaska UW Pediatric Interest Group for students who are interested in pediatrics or learning more about pediatric medicine. We are in combination with the Family Medicine Interest Group.,Academic
Peers at the University of Washington,Peers at the University of Washington is a RSO that provides a peer-support group with the goal of bringing community and support to LGBTQ&#43; University of Washington students.,Cultural/Identity
Pen and Paper Gaming Association,"A place to meet up and play pen and paper RPGs including Dungeons and Dragons, Call of Cthulu, Pathfinder, and more. People of all experience levels are welcome!",Gaming/Esports
Perfect Pair,"Perfect Pair is a unique program that matches seniors in your community one-on-one with a college volunteer. We match pairs based on personal interests and and background, to foster beautiful cross-generational connections.",Service/Volunteer
